name,full_form,entity_type,Comments(V/U/I),context,description,explanation,Document_number,Section_title,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Comment,document_number
PSA,PDU Session Anchor,Network Function,V,"This procedure allows for Ethernet PDU Sessions to change the PDU Session Anchor (PSA) while the session remains set up. Originally the Ethernet PDU Session goes via the Source UPF acting as the PSA. The Ethernet context which contains all Ethernet specific information including the MAC address of the UE and possibly its VLAN tag(s) is reported from the Source PSA UPF to the SMF. It is possible to report multiple MAC addresses (with their VLAN tag(s)) if these are reachable via the UE. The SMF determines whether and when a serving PDU Session anchor for an Ethernet PDU Session needs to be changed and selects the Target PSA UPF, establishes the N4 session at the Target PSA UPF. The information within the Ethernet context is sent to the Target UPF. Based on the information in the Ethernet context, the Target PSA UPF may take action to update the Ethernet forwarding in the data network. Figure 4.3.5.8-1: Ethernet PDU Session Anchor Relocation Initially, the Ethernet PDU Session is established with the user data going via the Source UPF. The Source UPF acts as the PSA. 1. The Source UPF reports the Ethernet context which contains all Ethernet specific information including the MAC address of the UE and possibly its VLAN tag(s) that the UPF has learned from the UE side to the SMF. In the case of any changes in the Ethernet context, the change is updated to the SMF so that the SMF maintains an up-to-date state of the Ethernet context. This signalling is realized based on N4 reporting. 2. The UPF's report is acknowledged. 3-5. In the case of handover, the RAN handover preparation and execution is followed by path switch signalling to the AMF and corresponding signalling to SMF, as defined in clause 4.9.1.2. 6. The SMF decides that the PSA is to be changed for the Ethernet PDU Session and selects the Target UPF that will act as the new PSA. The decision may be triggered by a mobility event, such as receiving the message in step 5. 7. The Target UPF N4 session is established. The SMF provides the N3 tunnel endpoint used by RAN. 8. The establishment of the new N4 session is acknowledged from the Target UPF to the SMF. The UPF provides its N3 tunnel endpoint. 9-10. In the case of handover, the SMF signals to the RAN via the AMF to provide the Path Switch Request Ack, which includes the update of the uplink N3 tunnel endpoint to the target UPF. This signalling is defined in clause 4.9.1.2. In steps 9-10, an indication is sent from the SMF via the AMF to the RAN node indicating that the RAN node should not expect to receive an end marker packet. The RAN node may skip trying to reorder the downlink packets. 11-12. If there is no handover and the UE is in connected mode, the SMF sends PDU Session Modify Request message to the RAN via the AMF, which includes the update of the uplink N3 tunnel endpoint to the target UPF. The RAN acknowledges the message. The RAN node does not need to to reorder the downlink packets. NOTE 1: Due to the change in the end to end path, packet re-ordering can occur both for the handover and no handover cases. If necessary, upper layer protocols can ensure in sequence delivery. After steps 9-10 or 11-12, uplink Ethernet frames pass via the target UPF. Downlink Ethernet frames may continue to be delivered from the source UPF to the RAN node. In the case of handover, the Ethernet frames are forwarded from the source RAN node to the target RAN node. 13-14. The SMF sends an N4 Session Modification Request to the Target UPF which includes the information in Ethernet context (i.e. MAC address and VLAN tag(s)) and a trigger for updating the Ethernet forwarding (next step). The Target UPF acknowledges by an N4 Session Modification Response. 15. The Target UPF may assist in the update of Ethernet forwarding tables of Ethernet switches in the DN via a variety of mechanisms, the use of which are specific to the DN and the specification of which are out-of-scope for 3GPP. NOTE 2: The UPF acting as a switch in the DN, can for example issue a Gratuitous ARP (GARP) containing the MAC address(es) of the UE that has switched to the new anchor, or the UPF can send an unsolicited Neighbor Discovery Protocol (NDP) Neighbor Advertisement message indicating the UE MAC addresses, or the UPF can generate a uplink Ethernet frame with the UE's MAC addresses as source MAC addresses (and possibly its VLAN tag(s)) and configurable payload which will be dropped by endhosts, or the UPF can send another message or Ethernet frame compatible with DN protocols. In the case of a central controller in the Ethernet network which sets the forwarding tables, the central controller can be instructed that the given MAC address is reachable at the new location. When multiple MAC addresses are present in the Ethernet context, the update of the Ethernet forwarding is performed for each MAC address. 16. The N4 session is released at the Source UPF. The source UPF may wait for a configurable period before it stops delivering downlink Ethernet frames for the given PDU Session. 17. The N4 session release is acknowledged from the Source UPF to the SMF.","PDU Session Anchor (PSA) is a 5G Network Function that allows for Ethernet PDU Sessions to change the PDU Session Anchor while the session remains set up. It involves the Source UPF acting as the PSA, reporting Ethernet context information to the SMF, which determines whether and when a serving PDU Session anchor needs to be changed and selects the Target PSA UPF.","PDU Session Anchor is classified under Telecommunications Concept because it relates to the management of network sessions and the exchange of information between different nodes in the network, specifically in the context of 5G networks and Ethernet PDU Sessions.",3GPP TS 23.502,4.3.5.8 Ethernet PDU Session Anchor Relocation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BSS,Base Station Subsystem,Network Function,V,"If the UE supports A/Gb mode and BSS packet flow procedures, a network supporting mobility from S1 mode to A/Gb mode shall include this IE.","The BSS is a component of the GSM network, responsible for managing radio resources and facilitating communication with mobile devices.",Categorized as a Network Function because it manages communication between the UE and the network.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3GPP TS 24.301
P-GW,Packet Data Network Gateway,Network Function,V,"In this case, the P-GW provides the UE with an IPv6 Prefix belonging to the Intranet/ISP addressing space. A dynamic IPv6 address is given using stateless address autoconfiguration. This IPv6 address is used for packet forwarding within the packet domain and for packet forwarding on the Intranet/ISP. When a P-GW receives an initial access request (e.g. Create Session Request or Proxy Binding Update) message, the P-GW deduces from local configuration data associated with the APN: - The source of IPv6 Prefixes (P-GW internal prefix pool, or external address allocation server); - Any server(s) to be used for address allocation, authentication and/or protocol configuration options retrieval (e.g. IMS related configuration, see 3GPP TS 24.229[ IP multimedia call control protocol based on Session Initiation Protocol (SIP) and Session Description Protocol (SDP); Stage 3 ]  [47]); - The protocol, i.e. RADIUS, Diameter or DHCPv6, to be used with the server(s); - The communication and security feature needed to communicate with the server(s); As an example the P-GW may use one of the following options: - P-GW internal Prefix pool for IPv6 prefixes allocation and no authentication; - P-GW internal Prefix pool for IPv6 prefixes allocation and RADIUS for authentication. The AAA server responds with either an Access-Accept or an Access-Reject to the RADIUS client in the P-GW; - RADIUS for authentication and IPv6 prefix allocation. The AAA server responds with either an Access-Accept or an Access-Reject to the RADIUS client in the P-GW; The P-GW includes the PDP Address IE in the the initial access response (e.g. Create Session Response or Proxy Binding Acknowledgement) and return an IPv6 address composed of a Prefix and an Interface-Identifier. The Interface-Identifier may have any value and it does not need to be unique within or across APNs. It shall however not conflict with the Interface-Identifier that the P-GW has selected for its own side of the UE-P-GW link. The Prefix assigned by the P-GW or the external AAA server shall be globally or site-local unique (see the Note in subclause 11.3 of this document regarding the usage of site-local addresses). Table 0.a summarizes the IPv6 prefix allocation and parameter configuration use cases between the UE and the P-GW that may lead the P-GW to interwork with the external RADIUS AAA, Diameter AAA and DHCPv6 servers over Sgi reference point. For detailed description of the signalling flows between the UE and the P-GW, see the references in the table. The detailed description of the signalling use cases that may be triggered between the P-GW and the external servers are specified in this document, as referenced in the table. Table 0.a : IPv6 prefix allocation and parameter configuration use cases","The Packet Data Network Gateway (P-GW) is a critical network function within the Evolved Packet Core (EPC) architecture, responsible for providing UE with an IPv6 Prefix belonging to the Intranet/ISP addressing space. It plays a key role in managing packet forwarding within the packet domain and on the Intranet/ISP. The P-GW interacts with external servers such as AAA servers using protocols like RADIUS or Diameter for authentication and IPv6 prefix allocation, ensuring secure and efficient communication.","P-GW is classified as a Network Function because it serves as an essential component in managing packet data networks, handling tasks such as IPv6 prefix allocation, authentication, and packet forwarding. Its interactions with external servers and its role in providing UE with IPv6 addresses align with the 3GPP's specifications for efficient network operations.",3GPP TS 29.061,11.2.1.3.1a IPv6 EPC based Bearer Activation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P-CSCF,Proxy-Call Session Control Function,Network Function,V,"When an MS/UE indicates a request for a P-CSCF address in the PCO IE in a Create PDP Context Request message on GERAN/UTRAN or for E-UTRAN in initial access request (e.g. Attach Request, PDN Connectivity Request), the GGSN/P-GW shall respond with one or more P-CSCF server addresses if preconfigured for this APN. If the GGSN/P-GW has no P-CSCF address available, the GGSN/P-GW shall ignore the request. If the GGSN/P-GW provides more than one P-CSCF IPv4/IPv6 address in the response, the GGSN/P-GW shall sort the addresses with the highest priority P-CSCF server first in the PCO IE. The GGSN/P-GW may use different prioritisations for different Mses/UEs, e.g. for load sharing between the P-CSCF servers.
The GGSN/P-GW may use a keep alive mechanism and/or other type based on local policy (e.g. statistical monitoring) to be able to detect a failure of P-CSCF address(es) preconfigured in the APN. The keep alive mechanism should make use of STUN or CRLF as specified for the UE in 3GPP TS 24.229 [47], clause K.2.1.5. As an alternative, ICMP echo request/response may be used. The GGSN/P-GW shall then provide only those P-CSCF address(es) that are available in a Create PDP Context Response/Create Session Response.
The coding of the PCO IE is described in the 3GPP TS 24.008 [54]. This procedure shall be followed regardless of whether or not the MS/UE uses a dedicated PDP context/EPS bearer for IMS signalling, and irrespective of the Gx status for the APN.",The P-CSCF is a network function that manages IMS signalling. It provides call control and routing services to the MS/UE.,Categorized as a Network Function because it manages call setup and teardown.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3GPP TS 29.061
OCS,Online Charging System,Network Function,V,"The following sub-clauses summarise the tasks of the functions comprising the OCS. Details of the OCS, and the role of each of its functional components, are described in TS 32.296[ Telecommunication management; Charging management; Online Charging System (OCS): Applications and interfaces ]  [53].","The Online Charging System (OCS) is a network function responsible for managing online charging and billing processes in real-time. It plays a critical role in enabling operators to charge users accurately based on their service usage, ensuring that the billing process is transparent, efficient, and scalable. The OCS interacts with various components of the telecommunication network, including the Policy and Charging Control (PCC) architecture, to provide a comprehensive charging solution.","OCS is classified as a Network Function because it serves as a key component in managing online charging processes within the telecommunication network, aligning with the 3GPP's specifications for efficient billing and charging operations.",3GPP TS 32.240,4.3.2.2 Online Charging System 4.3.2.2.0 General,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OAM,Operation and Maintenance,Network Function,V,"The feature is activated in the gNB either by direct configuration from the OAM system (management-based activation), or by signalling from the OAM via the 5GC (signalling-based activation), containing UE-associated QoE configuration. One or more QoE measurement collection jobs can be activated at a UE per service type, and each QoE measurement configuration is uniquely identified by a QoE reference. For signalling-based QoE measurements, the OAM initiates the QoE measurement activation for a specific UE via the 5GC, and the gNB receives one or more QoE measurement configurations by means of UE-associated signalling. The QoE measurement configuration for signalling-based activation includes an application layer measurement configuration list and the corresponding information for QoE measurement collection, e.g., QoE reference, service type, MCE IP address, slice scope, area scope, MDT alignment information, the indication of available RAN visible QoE metrics and assistance information. For management-based QoE measurement activation, the OAM sends one or more QoE measurement configurations directly to the gNB. The QoE measurement configuration for management-based activation also includes an application layer measurement configuration list and the corresponding information for QoE measurement collection. The gNB selects UE(s) that meet the required QoE measurement capability, area scope and slice scope. Application layer measurement configuration received by the gNB from OAM or 5GC is encapsulated in a transparent container, which is forwarded to a UE as Application layer configuration in the RRCReconfiguration message (there can be multiple configurations in the same message). Application layer measurement reports received from UE's application layer are encapsulated in a transparent container and sent to the network in the MeasurementReportAppLayer message, as specified in TS 38.331[ NR; Radio Resource Control (RRC); Protocol specification ]  [12]. The UE can send multiple application layer measurement reports to the gNB in one MeasurementReportAppLayer message. In order to allow the transmission of application layer measurement reports which exceed the maximum PDCP SDU size, segmentation of the MeasurementReportAppLayer message may be enabled by the gNB. A measurement configuration application layer ID conveyed in the RRC signalling is used to identify the application layer measurement configuration and report between the gNB and the UE. The measurement configuration application layer ID is mapped to the QoE reference in the gNB, and the gNB forwards the application layer measurement report to MCE together with the QoE reference. The gNB can release one or multiple application layer measurement configurations from the UE in one RRCReconfiguration message at any time. The UE may additionally be configured by the gNB to report when a QoE measurement session starts or stops for a certain application layer measurement configuration.","Operation and Maintenance (OAM) is a critical network function in the context of 5G networks, responsible for managing and configuring various aspects of the network. In the provided context, OAM plays a key role in activating Quality of Experience (QoE) measurements at the UE (User Equipment), either through direct configuration or via signalling from the 5GC (5G Core). The OAM system initiates QoE measurement activation for specific UEs and sends QoE measurement configurations to the gNB (gNodeB), which then forwards these configurations to the UE. This process enables the collection of QoE metrics, allowing for better network optimization and service quality assurance.","OAM is classified as a Network Function because it serves as a central component in managing and maintaining the network's operational aspects, including the activation and configuration of QoE measurements. Its role in signalling and configuring UEs and gNBs aligns with the responsibilities typically associated with network functions within 3GPP specifications.",3GPP TS 38.300,21.2.1 QoE Measurement Collection Activation and Reporting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BM-SC,Broadcast Multicast Service Centre,Network Function,V,"The Additional-MBMS-Trace-Info AVP (AVP Code 910) is of type OctetString. This AVP contains Trace Reference2, Trace Recording Session Reference, Triggering Events in BM-SC, Trace Depth for BM-SC, List of interfaces in BM-SC, Trace Activity Control For BM-SC which are all part of the Additional MBMS Trace Info IE as specified in TS 29.060[ General Packet Radio Service (GPRS); GPRS Tunnelling Protocol (GTP) across the Gn and Gp interface ]  [24].","The Broadcast Multicast Service Centre (BM-SC) is a network function responsible for managing broadcast and multicast services within the mobile network. It plays a crucial role in handling trace information related to MBMS (Multimedia Broadcast Multicast Services), including triggering events, trace depth, and interface lists.","BM-SC is classified as a Network Function because it serves as a key component in managing broadcast and multicast services within the mobile network, aligning with the 3GPP's specifications for efficient network operations. The context provided highlights its role in handling specific AVPs (Attribute Value Pairs) related to MBMS trace information.",3GPP TS 29.061,17.7.13 Additional-MBMS-Trace-Info AVP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nudm,Network Exposure Function for User Data Management,Network Function,U,"Service operation name: Nudm_ReportSMDeliveryStatus_Request Description: Reports the SM-Delivery Status to UDM. Inputs, Required: GPSI, SM-Delivery status. Inputs, Optional: None. Outputs, Required: Report SM-Delivery status result. Outputs, Optional: None.","The Network Exposure Function for User Data Management (Nudm) is a network function in the 5G system architecture that enables the exposure of user data management capabilities to authorized parties. It provides services such as reporting SM-Delivery status to UDM, which involves handling inputs like GPSI and SM-Delivery status, and generating outputs including the report result.","Nudm is classified as a Network Function because it serves as an intermediary for exposing user data management capabilities within the 5G system, facilitating interactions between different network components as specified in 3GPP TS 23.502.",3GPP TS 23.502,5.2.3.9.2 Nudm_ReportSMDeliveryStatus_Request service operation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Npcf,Network Policy Control Function,Network Function,V,"Service operation name: Npcf_AMPolicyControl_UpdateNotify Description: Provides to the NF Service Consumer, e.g. AMF, updated AM related Policy information for the AM Policy Association as defined in clause 6.5 of TS 23.503[ Policy and charging control framework for the 5G System (5GS); Stage 2 ]  [20]. NOTE: This notification corresponds to an implicit subscription. Inputs, Required: AM Policy Association ID. Inputs, Optional: Access and Mobility related information or indication of AM Policy Association termination. Outputs, Required: Success or failure. Outputs, Optional: None. See clause 4.16.2.2 for the usage of this service operation.","The Network Policy Control Function (Npcf) is a network function in the 5G system that plays a crucial role in managing and controlling policies related to access and mobility. It provides updated policy information for the Access and Mobility (AM) Policy Association, enabling other network functions like the AMF to make informed decisions regarding user equipment connections and mobility.","Npcf is classified as a Network Function because it serves as a key component in controlling and managing policies within the 5G system, specifically focusing on access and mobility aspects. This aligns with the 3GPP's specifications for efficient network operations and policy control.",3GPP TS 23.502,5.2.5.2.3 Npcf_AMPolicyControl_UpdateNotify service operation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C-CHF,Consumer Charging Handling Function,Network Function,V,"In the B2B scenario, the charging architecture may involve two modes of interaction: - Business CHF interaction: the NF (CTF) collects and reports the charging information per business, alternatively it collects and reports the charging information per consumer but for business charging purposes, to the business CHF (i.e. B-CHF). - Business CHF via consumer CHF interaction: the NF (CTF) collects and reports the charging information per consumer to a consumer CHF (i.e. C-CHF), and the C-CHF reports the charging information per business to the business CHF (i.e. B-CHF).","The Consumer Charging Handling Function (C-CHF) is a network function that plays a crucial role in managing consumer-related charging information within the Business-to-Business (B2B) scenario. It acts as an intermediary between the Network Function (NF) or Charging Trigger Function (CTF) and the Business CHF, collecting and reporting charging data per consumer to facilitate business charging purposes.","C-CHF is classified as a Network Function because it serves as a key component in handling consumer-related charging information, interacting with other network functions like NF/CTF and B-CHF to enable efficient charging management within the B2B scenario, aligning with the principles outlined in the 3GPP TS 32.240 specification.",3GPP TS 32.240,Annex G (informative): Business to Business (B2B) charging architecture and principles G.2.1 General,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
