,Question,Candidate Answer 1,Candidate Answer 2,Candidate Answer 3,Source,Section,Working Group,Series
0,What actions should a User Equipment (UE) take for each Logical Channel Identity value included in the rlc-BearerToReleaseList when releasing an RLC bearer as part of a Secondary Cell Group (SCG) release?,"When releasing an RLC bearer as part of a Secondary Cell Group (SCG) release, the UE should take two actions for each Logical Channel Identity value included in the rlc-BearerToReleaseList. Firstly, it should release the RLC entity or entities. Secondly, it should release the corresponding logical channel.","For each Logical Channel Identity value included in the rlc-BearerToReleaseList during an SCG release, the UE is required to perform two key actions. It must release the RLC entity or entities. Additionally, it should also release the corresponding logical channel associated with that Logical Channel Identity value.","In the context of a Secondary Cell Group (SCG) release, when the UE encounters a Logical Channel Identity value within the rlc-BearerToReleaseList, it must undertake two distinct steps. Firstly, it needs to release the RLC entity or entities. Secondly, and concurrently, the UE should also ensure that the logical channel corresponding to the Logical Channel Identity value is released.",3GPP TS 38.331,5.3.5.5.3 RLC bearer release,RAN2,"3GPP Series : 38 , Radio technology beyond LTE"
1,"How does the 5G system's user plane architecture support differentiated service requirements, such as low latency and high throughput?","The 5G system's user plane architecture supports differentiated service requirements through the use of Service Hosting Environments located within the operator's network. These environments enable services to be offered closer to end-users, meeting localization requirements such as low latency and reduced bandwidth pressure.","The 5G system's user plane architecture efficiently supports diverse services with varying performance requirements by leveraging Service Hosting Environments. This allows the network to offer services that cater to specific needs, like low-latency applications, and adapt to changing conditions for optimal routing and traffic bundling.","The 5G system's user plane architecture provides a flexible framework for managing user plane paths by integrating Service Hosting Environments. This enables operators to offer localized services with specific performance characteristics and respond to changes in UE location, application requirements, or operational conditions for efficient traffic routing and bundling.",3GPP TS 22.261,6.5.1 Description,SA WG1,"3GPP Series : 22 , Service aspects (""stage 1"")"
2,"What specific network behaviors can a User Equipment (UE) indicate as preferred or supported in its Preferred Network Behaviour indication, and how do these indications influence the Mobile Management Entity's (MME) decisions regarding various optimization features?","A UE can indicate its support for several network behaviors, including Control Plane CIoT EPS Optimisation, User Plane CIoT EPS Optimisation, S1-U data transfer, SMS transfer without Combined Attach, and header compression. These indications influence the MME's decisions regarding which network behaviors to accept or reject.","The Preferred Network Behaviour indication from a UE provides valuable information that can influence policy decisions in the MME, particularly regarding Control Plane and User Plane CIoT EPS Optimisations. This may lead to rerouting of the Attach or TAU from an MME to another MME in networks that support Dedicated Core Networks.","The UE's Preferred Network Behaviour indication plays a crucial role in determining the network behaviors supported by both the UE and the MME. Specifically, if a UE indicates support for SMS transfer without Combined Attach, an MME that supports this feature will provide SMS transfer without requiring the UE to perform a combined EPS attach.",3GPP TS 23.401,4.3.5.10 Preferred and Supported Network Behaviour,SA WG2,"3GPP Series : 23 , Technical realization (""stage 2"")"
3,"What action does the User Equipment (UE) take when it receives a PDU SESSION MODIFICATION COMMAND message with an assigned Procedure Transaction Identity (PTI) value that does not match any PTI in use, and the UE detects that this message is a network retransmission of an already accepted request?",The User Equipment (UE) responds with a PDU SESSION MODIFICATION COMPLETE message.,"When the UE receives a PDU SESSION MODIFICATION COMMAND message with an assigned PTI value that does not match any PTI in use and detects it is a network retransmission of an already accepted request, the UE's response is to send a PDU SESSION MODIFICATION COMPLETE message.","The UE takes this action because it has previously accepted the request associated with the PTI value in question. By responding with a PDU SESSION MODIFICATION COMPLETE message, the UE effectively confirms its earlier acceptance and allows the network to proceed under the assumption that the session modification was successfully completed.",3GPP TS 24.501,7.3.1 Procedure transaction identity,CT WG1,"3GPP Series : 24 , Signalling protocols (""stage 3"") - user equipment to network"
4,What is the purpose of associating a Maximum Data Burst Volume (MDBV) with each GBR QoS Flow having a Delay-critical resource type in the context of 5G System architecture?,"The primary purpose of associating an MDBV with each GBR QoS Flow having a Delay-critical resource type is to ensure that the network can serve the largest amount of data within a specific period, enabling effective traffic management and prioritization.","Associating an MDBV with each GBR QoS Flow having a Delay-critical resource type allows for efficient resource allocation, better congestion management, and prioritization of delay-critical communications, facilitating the implementation of advanced QoS mechanisms.",The association of an MDBV with each GBR QoS Flow having a Delay-critical resource type ensures that the network can support applications with stringent latency requirements by allocating sufficient resources and prioritizing traffic effectively.,3GPP TS 23.501,5.7.3.7 Maximum Data Burst Volume,SA WG2,"3GPP Series : 23 , Technical realization (""stage 2"")"
5,"What are the primary mechanisms used to ensure reliable packet delivery in E-UTRAN, and how do they interact to minimize packet errors and delay?","The primary mechanisms for ensuring reliable packet delivery in E-UTRAN are HARQ retransmissions at the MAC layer and ARQ mechanism of RLC. HARQ takes care of retransmitting packets up to a maximum configurable number if they fail to deliver. If all HARQ retransmissions fail, RLC's ARQ mechanism steps in to correct any residual packet errors.","To ensure reliable packet delivery with minimal errors and delay in E-UTRAN, the network employs a two-layered approach. At the MAC layer, HARQ retransmissions are utilized to correct most packet errors promptly. For those packets that still fail after multiple HARQ attempts and when RLC operates in acknowledged mode, the ARQ mechanism at the RLC layer provides an additional safety net to rectify any remaining errors.","The interaction between HARQ and ARQ mechanisms is crucial for achieving reliable packet delivery in E-UTRAN. By configuring RLC to operate in acknowledged mode for specific applications that demand ultra-low packet loss rates, the network ensures that even if HARQ retransmissions at the MAC layer fail to deliver a packet, the ARQ mechanism can still recover it.",3GPP TS 32.425,A.8 Monitor of ARQ and HARQ performance,SA WG5,"3GPP Series : 32 , OAM&P and Charging"
6,"A User Equipment (UE) indicates release X and supports a feature specified in release Y, which is later than release X. If this early implemented feature involves one or more critical extensions in dedicated signalling, what are the additional requirements for the UE regarding ASN.1 transfer syntax support?","The UE shall comprehend the parts of the transfer syntax (ASN.1) related to the feature implemented early, including comprehending the ASN.1 parts related to configuration of the feature.","In addition to supporting the feature specified in release Y, the UE must also support the ASN.1 parts related to indicating support of the feature in UE capabilities. Furthermore, if configuration of an early implemented feature introduced in release Y involves a message or field that has been critically extended, the UE shall support configuration of all features supported by the UE that are associated with sub-fields of this critical extension.","The UE is required to comprehend the entire transfer syntax (ASN.1) of release X and also the parts of the transfer syntax (ASN.1) related to the feature implemented early, including any critical extensions in dedicated signalling. However, the UE is not required to support functionality beyond what is defined in the release it indicates, except for the specific feature implemented early.",3GPP TS 38.331,Annex D (normative): UE requirements on ASN.1 comprehension,RAN2,"3GPP Series : 38 , Radio technology beyond LTE"
7,"What happens when a User Equipment (UE) requests to register a Packet Data Network Gateway Identifier (PDN GW ID) with an Access Point Name (APN) that is not present in its subscription context, and the UE has a wild card APN in its subscription context?","When a UE with a wild card APN in its subscription context requests to register a PDN GW ID with an APN not present in its subscription context, the nodes will store the PDN GW ID - APN relation for the UE. This allows the UE to connect to APNs that are not explicitly listed in its subscription context.","In this scenario, the presence of a wild card APN in the UE's subscription context grants it permission to connect to any APN, even if it is not specified in the subscription context. As a result, when the UE requests to register a PDN GW ID with an unknown APN, the network nodes will create a new entry for this APN-PDN GW ID relation and store it for future reference.","The wild card APN acts as a catch-all mechanism, enabling the UE to establish connections with various APNs not explicitly defined in its subscription profile. When the UE attempts to register a PDN GW ID with an unfamiliar APN, the network entities will dynamically create and store this new APN-PDN GW ID association, effectively expanding the UE's connectivity options beyond its predefined subscription context.",3GPP TS 23.401,5.7.6 Handling of Wild Card APN,SA WG2,"3GPP Series : 23 , Technical realization (""stage 2"")"
8,"When the User Equipment (UE) does not provide an Access Point Name (APN) for a PDP context activation, which APN does the Serving GPRS Support Node (SGSN) use as the congested APN during APN-based congestion control?",The SGSN utilizes the APN that was used in the GGSN/PDN GW selection procedure as the congested APN. This approach ensures a standardized method of handling congestion control when specific APN information is not provided by the UE.,"The SGSN resorts to using the APN from the GGSN/PDN GW selection process as the basis for determining the congested APN. This decision-making process allows the network to manage and mitigate congestion effectively, even in situations where the UE does not explicitly indicate an APN during PDP context activation.","When a UE fails to provide an APN during the activation of a PDP context, the SGSN defaults to using the APN that was previously utilized for the GGSN/PDN GW selection procedure. This default behavior enables the network to implement congestion control measures based on the available APN information, thereby ensuring efficient management of network resources and preventing potential bottlenecks.",3GPP TS 24.008,6.1.3.11 Handling of APN based congestion control,CT WG1,"3GPP Series : 24 , Signalling protocols (""stage 3"") - user equipment to network"
9,"What parameters are used to form the input S to the Key Derivation Function (KDF) for deriving a KNG-RAN* from a current KgNB or fresh NH, and what is the length of each parameter when considering handover purposes and transition from RRC_INACTIVE to RCC_CONNECTED states in 5G networks?","The parameters used to form the input S to the Key Derivation Function (KDF) are FC, P0, L0, P1, and L1. Specifically, FC is set to 0x71, P0 is the target physical cell ID (PCI), L0 is the length of PCI which is 2 bytes, P1 is the EARFCN-DL (target physical cell downlink frequency), and L1 is the length of EARFCN-DL, which is 3 bytes. These parameters are used for handover purposes and transition from RRC_INACTIVE to RRC_CONNECTED states in 5G networks.","To derive a KNG-RAN* from current KgNB or fresh NH, the input S to the Key Derivation Function (KDF) is formed using five key parameters. The first parameter, FC, is fixed at 0x71. The second and third parameters, P0 and L0, represent the target physical cell ID (PCI) and its length, respectively, with L0 being 2 bytes long. The fourth and fifth parameters, P1 and L1, denote the EARFCN-DL (target physical cell downlink frequency) and its length, which is 3 bytes.","In the context of deriving a KNG-RAN* from current KgNB or fresh NH for handover purposes and transition from RRC_INACTIVE to RRC_CONNECTED states, the input S to the Key Derivation Function (KDF) is composed of five distinct parameters. The parameter FC is set to a fixed value of 0x71, while P0 represents the target physical cell ID (PCI). The length of PCI is denoted by L0, which has a fixed length of 2 bytes. Additionally, P1 and L1 represent the EARFCN-DL (target physical cell downlink frequency) and its length, respectively, with L1 being 3 bytes long.",3GPP TS 33.501,A.12 KNG-RAN* derivation function for target ng-eNB,SA WG3,"3GPP Series : 33 , Security aspects"
