,Question,Option 1,Option 2,Option 3,Option 4,Answer,Explanation,Source,Section,Working Group,Series
0,What does a Mobile Station (MS) do when it cannot encode the requested identity in an IDENTITY RESPONSE message due to the absence of a valid SIM?,It sends an error message to the network.,It uses a default identity.,It ignores the request and continues with normal operations.,"It encodes the identity type as ""No identity"" in the IDENTITY RESPONSE message.",Option 4,"When a Mobile Station (MS) is unable to encode the requested identity, typically due to not having a valid SIM available, it follows a specific procedure. In this case, the MS will indicate its inability to provide the requested identity by setting the identity type to ""No identity"" in the IDENTITY RESPONSE message sent back to the network. This action informs the network of the situation and is a standardized way for the MS to communicate its status under these conditions.",3GPP TS 24.008,4.7.8.3a Abnormal cases in the MS,CT WG1,"3GPP Series : 24 , Signalling protocols (""stage 3"") - user equipment to network"
1,What timer is supported for broadcast but not for groupcast?,SL HARQ RTT timer,SL inactivity-timer,SL on-duration timer,SL HARQ retransmission timers,Option 3,"According to the text, only SL on-duration timer is supported for broadcast. This implies that while SL on-duration timer is used for both groupcast and broadcast, it is the only one of these timers specifically mentioned as being supported for broadcast.",3GPP TS 38.300,16.9.6.3 Groupcast/Broadcast,RAN2,"3GPP Series : 38 , Radio technology beyond LTE"
2,What is the primary goal of replay protection in the Non-Access Stratum (NAS) protocol for Evolved Packet System (EPS)?,To ensure confidentiality of NAS messages,To prevent unauthorized access to EPS security context,To guarantee Quality of Service (QoS) for NAS messages,To assure that one and the same NAS message is not accepted twice by the receiver,Option 4,"Replay protection in NAS protocol aims to prevent a receiver from accepting duplicate NAS messages, ensuring that each message is processed only once. This is crucial for maintaining the integrity of EPS security context and preventing potential attacks or errors.",3GPP TS 24.301,4.4.3.2 Replay protection,CT WG1,"3GPP Series : 24 , Signalling protocols (""stage 3"") - user equipment to network"
3,What is the purpose of the Nbsf_Management_Subscribe service operation in the context of the 5G System (5GS)?,To request the deletion of a PDU Session.,To subscribe to notifications for newly registered or deregistered PCF for a UE or a PDU Session.,To update the SM policy association for a specific DNN and S-NSSAI combination.,To retrieve the list of available BSFs in the network.,Option 2,"The Nbsf_Management_Subscribe service operation allows NEF, AF, TSCTSF, or PCF to subscribe to notifications for newly registered or deregistered PCF for a UE or a PDU Session. This enables these entities to receive updates on changes in the network and take necessary actions accordingly.",3GPP TS 23.502,5.2.13.2.6 Nbsf_Management_Subscribe service operation,SA WG2,"3GPP Series : 23 , Technical realization (""stage 2"")"
4,What modes are Voice Group Call Service (VGCS) and Voice Broadcast Service (VBS) applicable to?,A/Gb mode only,Iu mode only,Both A/Gb and Iu modes,Neither A/Gb nor Iu modes,Option 1,"According to the specifications, Voice Group Call Service (VGCS) and Voice Broadcast Service (VBS) are specifically designed for use in A/Gb mode only. This restriction is crucial for ensuring proper functionality and compatibility of these services within mobile networks.",3GPP TS 24.008,1.7.1 Voice Group Call Service (VGCS) and Voice Broadcast Service (VBS),CT WG1,"3GPP Series : 24 , Signalling protocols (""stage 3"") - user equipment to network"
5,"What is the purpose of including the ""CAG information list"" IE in a message?",To retrieve the current CAG information list from the UE.,To assign a new CAG information list to the UE or delete the existing one.,To update the UE's location with the network.,To request additional CAG information from the UE.,Option 2,"The ""CAG information list"" IE is used to manage the CAG (Closed Access Group) information at the UE side. Including this IE in a message allows the network to assign a new CAG information list to the UE or delete the existing one, which is essential for maintaining accurate and up-to-date CAG information.",3GPP TS 24.501,8.2.7.36 CAG information list,CT WG1,"3GPP Series : 24 , Signalling protocols (""stage 3"") - user equipment to network"
6,What is the primary purpose of an AMF UE NGAP ID in a 5G network?,To uniquely identify a User Equipment (UE) within an Access and Mobility Management Function (AMF) set.,To authenticate user credentials during network registration.,To prioritize Quality of Service (QoS) for specific UE applications.,To manage mobility between different AMFs.,Option 1,"An AMF UE NGAP ID is used to identify a UE within an AMF set, allowing the AMF to uniquely recognize and manage the UE's N2 signaling interactions. This identifier is essential for efficient communication between the UE, the 5G Access Network (5G-AN), and the AMF.",3GPP TS 23.501,5.9.9 AMF UE NGAP ID,SA WG2,"3GPP Series : 23 , Technical realization (""stage 2"")"
7,"What type of business relationship is described by the term ""Business to Business"" (B2B) in the context of telecommunication management?",A business providing goods or services directly to end-consumers.,A business providing goods or services to other businesses.,A government agency regulating business transactions.,A non-profit organization facilitating business partnerships.,Option 2,"In the context of telecommunication management, B2B refers to a specific type of business relationship where businesses provide goods or services to other businesses, rather than directly to end-consumers. This is relevant in scenarios where telecom operators provide wholesale services to other operators or businesses, highlighting the importance of B2B charging principles and architectures in managing these relationships.",3GPP TS 32.240,Annex G (informative): Business to Business (B2B) charging architecture and principles G.1 General,SA WG5,"3GPP Series : 32 , OAM&P and Charging"
8,What does the presence of the SOR Transparent Container IE in a message from the User Equipment (UE) indicate?,The UE is requesting a new SOR transparent container.,The UE has successfully received the SOR transparent container IE in the REGISTRATION ACCEPT message and acknowledges it.,The UE does not support SOR-CMCI.,The UE is rejecting the previously sent SOR transparent container.,Option 2,"The presence of the SOR Transparent Container IE in a message from the User Equipment (UE) indicates that the UE has successfully received the SOR transparent container IE in the REGISTRATION ACCEPT message and acknowledges it, showing its support for SOR-CMCI.",3GPP TS 24.501,8.2.8.2 SOR transparent container,CT WG1,"3GPP Series : 24 , Signalling protocols (""stage 3"") - user equipment to network"
9,What is the primary purpose of network access in the context of a 5G system?,To provide lawful interception capabilities,To enable users to connect to the 5G Core Network (CN),To perform policy control and charging functions,To facilitate identification and authentication of devices,Option 2,"The primary purpose of network access in a 5G system is to provide a means for users to connect to the 5G Core Network (CN), enabling them to access various services and applications. This is explicitly stated in the text, highlighting the importance of network access as a fundamental functionality in the 5G system architecture.",3GPP TS 23.501,5.2 Network Access Control 5.2.1 General,SA WG2,"3GPP Series : 23 , Technical realization (""stage 2"")"
10,What triggers the User Equipment (UE) to enter the limited service state over non-3GPP access when a valid USIM is present?,"Receipt of ""5GS services allowed"" during registration or service request.","Receipt of ""PLMN not allowed"", ""Tracking area not allowed"", or ""Roaming not allowed in this tracking area"" during registration, network-initiated de-registration, or service request.",Successful completion of initial registration for non-emergency services.,"Detection of an ""illegal UE"" or ""illegal ME"" when a valid USIM is present.",Option 2,"The limited service state over non-3GPP access is triggered when the UE receives specific error messages, such as ""PLMN not allowed"", ""Tracking area not allowed"", or ""Roaming not allowed in this tracking area"", during registration, network-initiated de-registration, or service request. This indicates that the UE is unable to obtain normal service from a PLMN over non-3GPP access due to restrictions imposed by the network.",3GPP TS 24.501,4.7.4 Limited service state over non-3GPP access,CT WG1,"3GPP Series : 24 , Signalling protocols (""stage 3"") - user equipment to network"
11,What type of Non-Public Network (NPN) relies on network functions provided by a Public Land Mobile Network (PLMN)?,Stand-alone Non-Public Network (SNPN),Private Network Integrated (PNI) NPN,Virtual Private Network (VPN),Public Network Integrated (PNI) NPN,Option 4,"A Public Network Integrated (PNI) Non-Public Network (NPN) is a type of NPN that relies on the support of a PLMN, as opposed to a Stand-alone Non-Public Network (SNPN) which does not rely on network functions provided by a PLMN.",3GPP TS 38.300,4.8 Non-Public Networks,RAN2,"3GPP Series : 38 , Radio technology beyond LTE"
12,What is the primary purpose of the Nnef_ECSAddress_Subscribe service operation in the 5G System?,To update the ECS Address Configuration Information for a specific UE.,To retrieve the current ECS Address Configuration Information from the NEF.,To allow NF consumers to subscribe to notifications of changes to ECS Address Configuration Information.,To cancel an existing subscription to ECS Address Configuration Information.,Option 3,"The Nnef_ECSAddress_Subscribe service operation is used by NF consumers to explicitly subscribe to notifications of changes to ECS Address Configuration Information, as indicated in the description. This allows NF consumers to receive updates when the configuration information changes, enabling them to take necessary actions.",3GPP TS 23.502,5.2.6.37.5 Nnef_ECSAddress_Subscribe service operation,SA WG2,"3GPP Series : 23 , Technical realization (""stage 2"")"
